customer_id,transaction_amount,fraud_flag
CUST00001,1672.29,0
CUST00001,4775.51,0
CUST00001,4022.72,0
CUST00001,1643.04,0
CUST00001,3580.37,0
CUST00001,4535.13,0
CUST00001,2829.36,0
CUST00001,4410.32,0
CUST00001,1841.93,0
CUST00001,4490.31,0
CUST00001,2508.19,0
CUST00001,1528.97,0
CUST00001,715.3,0
CUST00001,2796.89,0
CUST00001,4525.18,0
CUST00001,3379.57,0
CUST00002,2361.98,0
CUST00002,1703.64,0
CUST00002,601.19,0
CUST00002,331.26,0
CUST00002,3532.04,0
CUST00002,181.93,0
CUST00002,1456.52,0
CUST00003,4527.43,0
CUST00003,4064.49,0
CUST00003,3033.89,0
CUST00003,2333.59,0
CUST00003,1560.27,0
CUST00003,4071.69,0
CUST00003,4007.97,0
CUST00004,3977.76,0
CUST00004,3754.11,0
CUST00004,1550.79,0
CUST00004,1909.24,0
CUST00004,7215.64,0
CUST00004,3069.3,0
CUST00004,2383.27,0
CUST00004,3313.13,0
CUST00004,2901.95,0
CUST00005,868.56,0
CUST00005,5516.48,0
CUST00005,4884.68,0
CUST00005,4551.24,0
CUST00005,3921.0,0
CUST00005,2375.63,0
CUST00005,3756.86,0
CUST00005,2329.47,0
CUST00005,3110.03,0
CUST00005,2675.38,0
CUST00005,1353.55,0
CUST00005,2791.2,0
CUST00005,2374.62,0
CUST00005,5228.56,0
CUST00005,3986.45,0
CUST00005,1743.6,0
CUST00005,2546.71,0
CUST00005,2933.6,0
CUST00005,3656.48,0
CUST00005,1199.34,0
CUST00005,1908.64,0
CUST00006,2042.99,0
CUST00006,3244.87,0
CUST00006,1184.5,0
CUST00006,3040.27,0
CUST00006,6751.81,0
CUST00006,1394.63,0
CUST00006,4214.49,0
CUST00007,6131.38,0
CUST00007,3966.39,0
CUST00007,5427.2,0
CUST00007,1341.47,0
CUST00007,3904.52,0
CUST00007,3379.76,0
CUST00007,3631.29,0
CUST00007,2391.56,0
CUST00007,4142.89,0
CUST00007,5618.6,0
CUST00008,3727.62,0
CUST00008,124.08,0
CUST00008,1189.46,0
CUST00008,1424.3,0
CUST00008,2509.87,0
CUST00008,3159.45,0
CUST00008,1607.18,0
CUST00008,5733.94,0
CUST00008,1697.37,0
CUST00008,3103.34,0
CUST00008,5480.06,0
CUST00008,3550.48,0
CUST00008,1408.59,0
CUST00008,2854.95,0
CUST00008,2953.06,0
CUST00008,1281.36,0
CUST00008,4237.51,0
CUST00008,3565.63,0
CUST00008,7559.2,0
CUST00009,1480.53,0
CUST00009,3592.07,0
CUST00009,18.89,0
CUST00009,3332.43,0
CUST00009,1557.84,0
CUST00009,4291.01,0
CUST00009,5166.97,0
CUST00009,4054.11,0
CUST00009,4072.82,0
CUST00009,5563.53,0
CUST00009,2574.01,0
CUST00009,2261.89,0
CUST00009,1423.46,0
CUST00009,4098.65,0
CUST00009,1707.19,0
CUST00009,3715.39,0
CUST00009,2670.56,0
CUST00009,3907.42,0
CUST00009,1178.64,0
CUST00009,3444.85,0
CUST00009,2091.39,0
CUST00009,3784.02,0
CUST00009,5473.45,0
CUST00009,121.89,0
CUST00009,3245.92,0
CUST00010,1991.06,0
CUST00010,4691.91,0
CUST00010,608.5,0
CUST00010,3454.42,0
CUST00010,2146.12,0
CUST00010,788.87,0
CUST00010,1716.77,0
CUST00010,3040.05,0
CUST00010,2251.98,0
CUST00010,3620.79,0
CUST00010,502.81,0
CUST00010,7769.46,0
CUST00010,3443.16,0
CUST00010,2036.54,0
CUST00010,2355.15,0
CUST00010,118.18,0
CUST00010,75.11,0
CUST00010,2619.84,0
CUST00010,3426.85,0
CUST00011,2541.13,0
CUST00011,7095.03,0
CUST00011,2021.65,0
CUST00011,866.03,0
CUST00011,2416.88,0
CUST00011,2141.64,0
CUST00011,2008.86,0
CUST00011,3999.36,0
CUST00011,775.89,0
CUST00011,4783.25,0
CUST00011,443.59,0
CUST00012,2660.94,0
CUST00012,5401.81,0
CUST00012,5499.37,0
CUST00012,4223.44,0
CUST00012,4457.45,0
CUST00012,4137.84,0
CUST00012,3369.32,0
CUST00012,2662.35,0
CUST00012,2748.21,0
CUST00012,2791.24,0
CUST00012,2436.19,0
CUST00012,7605.93,0
CUST00012,3637.1,0
CUST00012,1371.92,0
CUST00012,2670.17,0
CUST00012,8168.4,0
CUST00012,17.78,0
CUST00012,1233.01,0
CUST00013,2040.57,0
CUST00013,2225.52,0
CUST00013,2894.78,0
CUST00013,4623.1,0
CUST00013,2326.68,0
CUST00013,610.69,0
CUST00013,4660.35,0
CUST00013,289.89,0
CUST00013,4086.62,0
CUST00013,4922.11,0
CUST00013,545.64,0
CUST00013,4288.01,0
CUST00013,992.92,0
CUST00013,2102.92,0
CUST00013,920.12,0
CUST00013,3189.69,0
CUST00013,1456.96,0
CUST00013,1110.13,0
CUST00013,4976.29,0
CUST00014,4404.59,0
CUST00014,5890.63,0
CUST00014,3125.67,0
CUST00014,4390.02,0
CUST00014,5823.46,0
CUST00014,1024.18,0
CUST00015,3015.23,0
CUST00015,136.13,0
CUST00015,3169.78,0
CUST00015,6534.4,0
CUST00015,3138.59,0
CUST00015,6401.39,0
CUST00015,1568.06,0
CUST00015,5309.82,0
CUST00015,2041.95,0
CUST00015,1501.6,0
CUST00015,747.66,0
CUST00015,5405.63,0
CUST00015,4009.8,0
CUST00015,2695.45,0
CUST00015,2408.23,0
CUST00015,3281.68,0
CUST00016,329.52,0
CUST00016,3840.14,0
CUST00016,3650.51,0
CUST00016,5516.11,0
CUST00016,6104.34,0
CUST00016,1821.22,0
CUST00016,3261.09,0
CUST00016,2821.6,0
CUST00016,3692.57,0
CUST00016,447.79,0
CUST00016,4390.9,0
CUST00016,4665.5,0
CUST00016,2434.38,0
CUST00016,1068.08,0
CUST00016,1760.17,0
CUST00016,2103.48,0
CUST00016,2798.25,0
CUST00016,2637.17,0
CUST00016,83.15,0
CUST00016,3350.27,0
CUST00016,4646.39,0
CUST00016,1885.97,0
CUST00017,6274.29,0
CUST00017,810.43,0
CUST00017,1731.92,0
CUST00017,2631.11,0
CUST00017,1690.32,0
CUST00017,3082.23,0
CUST00017,1293.23,0
CUST00017,2985.44,0
CUST00017,1782.37,0
CUST00017,4662.25,0
CUST00017,5329.05,0
CUST00017,5652.66,0
CUST00017,2814.38,0
CUST00017,994.35,0
CUST00017,3200.88,0
CUST00017,258.98,0
CUST00017,5122.62,0
CUST00017,3479.28,0
CUST00017,2457.17,0
CUST00017,2241.9,0
CUST00017,4275.52,0
CUST00017,1207.74,0
CUST00017,2555.08,0
CUST00017,772.26,0
CUST00017,3620.82,0
CUST00017,3044.02,0
CUST00017,1990.73,0
CUST00018,612.21,1
CUST00018,2651.97,0
CUST00018,2897.21,0
CUST00018,2308.58,0
CUST00018,4196.76,1
CUST00018,2142.65,0
CUST00018,3595.48,0
CUST00018,4093.48,0
CUST00018,3247.54,1
CUST00018,4523.12,0
CUST00018,811.56,0
CUST00018,1872.48,1
CUST00018,3626.35,0
CUST00018,3657.37,1
CUST00019,2685.29,0
CUST00019,1361.11,0
CUST00019,3142.44,0
CUST00019,4346.48,0
CUST00019,1771.62,0
CUST00019,2725.74,0
CUST00019,4225.54,0
CUST00019,4061.39,0
CUST00019,2791.91,0
CUST00019,2451.0,0
CUST00019,3253.56,0
CUST00019,5103.54,0
CUST00019,6359.5,0
CUST00019,2526.54,0
CUST00019,1560.0,0
CUST00019,1896.53,0
CUST00019,1187.79,0
CUST00019,3240.04,0
CUST00019,370.13,0
CUST00019,5329.79,0
CUST00019,117.79,0
CUST00019,1182.93,0
CUST00020,3517.98,0
CUST00020,3544.35,0
CUST00020,2160.97,0
CUST00020,4857.7,0
CUST00020,2217.19,0
CUST00020,3969.93,0
CUST00020,5093.07,0
CUST00020,3171.03,0
CUST00020,4687.55,0
CUST00020,4454.35,0
CUST00020,543.15,0
CUST00020,4189.19,0
CUST00020,1599.26,0
CUST00020,3695.27,0
CUST00020,4592.6,0
CUST00020,4267.65,0
CUST00020,2973.13,0
CUST00020,2603.93,0
CUST00020,5899.93,0
CUST00020,6504.28,0
CUST00020,3802.13,0
CUST00020,1139.99,0
CUST00020,442.82,0
CUST00020,2306.41,0
CUST00021,4836.64,0
CUST00021,3116.78,1
CUST00021,6320.36,0
CUST00021,4037.77,0
CUST00021,4403.18,1
CUST00021,513.34,0
CUST00021,3068.96,0
CUST00021,1757.76,1
CUST00021,3728.55,1
CUST00021,2292.41,0
CUST00022,4903.76,0
CUST00022,92.64,0
CUST00022,3278.28,0
CUST00022,2445.06,0
CUST00022,6236.08,0
CUST00022,659.75,0
CUST00022,3861.63,0
CUST00022,3553.3,0
CUST00022,282.27,0
CUST00022,2916.25,0
CUST00022,2300.93,0
CUST00022,3926.33,0
CUST00022,182.98,0
CUST00022,10691.47,0
CUST00022,960.27,0
CUST00022,2742.49,0
CUST00022,2446.86,0
CUST00022,8596.79,0
CUST00022,6166.5,0
CUST00022,6817.83,0
CUST00023,283.5,0
CUST00023,5516.76,0
CUST00023,1373.04,0
CUST00023,1692.92,0
CUST00023,2392.8,0
CUST00023,5935.42,0
CUST00023,1422.68,0
CUST00023,120.81,0
CUST00023,3820.25,0
CUST00023,3303.02,0
CUST00023,2965.04,0
CUST00023,3003.04,0
CUST00023,458.83,0
CUST00023,3522.54,0
CUST00023,5389.38,0
CUST00023,4880.32,0
CUST00023,4509.03,0
CUST00023,6954.39,0
CUST00023,1964.48,0
CUST00023,2415.04,0
CUST00023,1129.56,0
CUST00023,6542.26,0
CUST00023,3154.23,0
CUST00023,4157.96,0
CUST00023,2908.2,0
CUST00023,1320.18,0
CUST00024,1874.76,0
CUST00024,7436.16,1
CUST00024,5794.49,0
CUST00024,5670.84,0
